"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"2_1","2","1","2022_9_29_11-41-39_104.jpg",9,13,0,4,0,0,24,0,0,0,1,0,47,0,1,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_304.jpg",14,46,0,2,1,0,9,2,0,0,0,0,0,0,11,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_160.jpg",31,14,2,20,6,0,10,3,0,0,0,1,0,0,6,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_64.jpg",15,1,4,3,0,0,38,0,0,0,0,0,29,0,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_120.jpg",13,21,1,8,0,0,33,0,0,0,0,1,13,0,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_216.jpg",8,20,0,29,0,0,4,0,0,0,0,0,36,0,2,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_216.jpg",2,0,7,1,21,0,10,0,0,0,0,0,51,0,1,7,0,0,0
"3_1","3","1","2022_9_29_10-12-09_456.jpg",5,2,3,1,5,0,50,0,0,0,0,9,0,0,25,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_288.jpg",0,0,0,0,28,0,54,0,1,0,3,0,2,0,8,4,0,0,0
"3_1","3","1","2022_9_29_10-12-09_656.jpg",0,0,18,0,43,0,18,0,0,0,0,0,20,1,0,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_376.jpg",0,0,0,0,6,0,0,0,0,0,3,60,7,0,23,0,0,0,1
"3_1","3","1","2022_9_29_10-12-09_320.jpg",0,0,3,0,32,0,9,0,0,0,0,0,11,0,31,4,0,0,0
"3_1","3","1","2022_9_29_10-12-09_624.jpg",0,0,10,0,20,0,16,0,1,0,7,1,9,0,13,6,0,0,0
"3_1","3","1","2022_9_29_10-12-09_584.jpg",2,0,0,0,24,0,15,2,0,0,1,0,26,0,7,23,0,0,0
"3_1","3","1","2022_9_29_10-12-09_48.jpg",1,0,1,0,24,0,5,0,0,0,9,0,50,0,8,0,0,0,0
"3_1","3","1","2022_9_29_10-12-09_352.jpg",0,0,0,0,5,0,4,0,0,0,0,6,48,0,29,8,0,0,0
"3_1","3","1","2022_9_29_10-12-09_168.jpg",0,0,10,0,15,0,18,3,0,0,0,0,33,0,2,11,0,0,0
"3_1","3","1","2022_9_29_10-12-09_128.jpg",0,0,5,0,27,0,13,0,0,0,0,0,38,0,8,7,0,0,0
"3_1","3","1","2022_9_29_10-12-09_160.jpg",0,0,16,0,14,0,34,0,0,0,0,0,19,0,13,3,0,0,0
"3_1","3","1","2022_9_29_10-12-09_600.jpg",0,0,0,0,23,0,17,33,0,0,12,0,1,0,5,1,0,0,0
"3_1","3","1","2022_9_29_10-12-09_136.jpg",0,0,0,0,20,0,4,0,0,0,0,0,72,0,2,2,0,0,0
