"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,122,"1_3","1","3","2022_10_06_14-23-32_128.jpg",-0.726634474575737,-0.431526042013491,2,10,0,0,1,0,6,0,0,0,76,0,0,0,3,0,0,0,1
1,128,"1_3","1","3","2022_10_06_14-23-32_168.jpg",-1.04305481524562,-0.421175674250671,0,0,6,2,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
1,142,"1_3","1","3","2022_10_06_14-23-32_272.jpg",-1.10036685945665,-0.417686956637767,0,2,0,0,0,0,0,0,0,0,74,16,0,0,0,0,0,2,0
1,150,"1_3","1","3","2022_10_06_14-23-32_56.jpg",-1.05573384366845,-0.551050115794895,0,4,0,0,0,0,0,0,0,0,86,2,0,0,0,0,4,0,0
1,133,"1_3","1","3","2022_10_06_14-23-32_208.jpg",-0.809608071747264,-0.0727593959545172,0,0,8,0,0,0,0,0,0,0,44,8,0,0,14,0,0,0,0
1,126,"1_3","1","3","2022_10_06_14-23-32_16.jpg",-0.825556619654638,-0.227598239165974,0,8,16,6,0,0,2,0,0,0,62,4,0,0,0,0,0,2,0
1,145,"1_3","1","3","2022_10_06_14-23-32_296.jpg",0.224537321140677,0.255518932682417,0,0,14,0,0,0,10,0,0,0,10,18,12,0,16,0,0,2,0
1,136,"1_3","1","3","2022_10_06_14-23-32_232.jpg",-0.864606480477082,-0.15761394383394,0,6,4,0,0,0,0,0,0,0,56,26,0,0,6,0,0,0,0
1,119,"1_3","1","3","2022_10_06_14-23-32_104.jpg",-1.02953526740668,-0.520418107297959,0,2,10,0,0,0,0,0,6,0,76,0,0,0,0,0,0,0,4
1,124,"1_3","1","3","2022_10_06_14-23-32_144.jpg",-0.775679600636865,-0.264409638709539,2,16,8,0,0,0,0,0,0,0,60,6,0,0,2,0,4,0,0
1,152,"1_3","1","3","2022_10_06_14-23-32_72.jpg",-0.979043850790884,-0.493027656046627,0,8,2,0,0,0,0,0,0,0,80,2,0,0,0,0,8,0,0
1,144,"1_3","1","3","2022_10_06_14-23-32_288.jpg",-0.807456465558712,0.145610594352421,2,14,32,2,0,0,0,0,0,0,24,4,0,0,2,0,0,4,0
1,154,"1_3","1","3","2022_10_06_14-23-32_80.jpg",-1.00248159446656,-0.435053293399965,0,4,2,0,0,0,0,0,0,0,72,6,0,0,0,0,0,0,0
1,120,"1_3","1","3","2022_10_06_14-23-32_112.jpg",-0.983768026404757,-0.522661830850032,0,2,2,0,0,0,2,0,0,0,72,0,0,0,0,0,0,0,0
1,190,"2_1","2","1","2022_9_29_11-41-39_312.jpg",0.125728484038011,0.567322526234213,20,42,0,6,2,0,13,1,0,0,0,0,0,0,12,0,0,0,0
1,218,"2_1","2","1","2022_9_29_11-41-39_88.jpg",0.0167168040020131,0.577152184513347,20,24,3,18,3,0,25,0,0,0,0,0,0,0,4,0,0,0,0
1,193,"2_1","2","1","2022_9_29_11-41-39_328.jpg",0.80851699133173,-0.586041781619408,1,4,1,0,7,0,3,3,0,0,0,0,74,0,7,0,0,0,0
1,188,"2_1","2","1","2022_9_29_11-41-39_296.jpg",0.491375052372689,-0.423050976997221,4,16,0,0,5,0,12,0,0,0,4,0,56,0,3,0,0,0,0
1,189,"2_1","2","1","2022_9_29_11-41-39_304.jpg",0.13924962361719,0.625263898653666,14,46,0,2,1,0,9,2,0,0,0,0,0,0,11,0,0,0,1
1,166,"2_1","2","1","2022_9_29_11-41-39_136.jpg",0.300056802722189,0.222320123526149,16,14,13,3,0,0,10,2,0,0,0,2,15,0,23,0,0,0,1
1,195,"2_1","2","1","2022_9_29_11-41-39_344.jpg",0.51436514550747,-0.334382623801722,11,25,0,1,2,0,6,0,0,0,0,0,48,0,7,0,0,0,0
1,178,"2_1","2","1","2022_9_29_11-41-39_224.jpg",-0.0133362711460267,0.851102745551787,36,11,7,6,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0
1,197,"2_1","2","1","2022_9_29_11-41-39_360.jpg",0.528085335899598,-0.329842007384305,16,28,0,1,0,0,1,5,0,0,0,0,38,0,8,0,0,0,0
